"ID","X","Y","state","OAK","PINE","MAPLE","BIRCH","HEMLOCK","TAMARACK","POPLAR/TULIP.POPLAR","CEDAR/JUNIPER","BEECH","ELM","SPRUCE","BASSWOOD","ASH","FIR","IRONWOOD","HICKORY","OTHER.HARDWOOD","WALNUT","BLACK.GUM/SWEET.GUM"
3861,29000,1390000,"minnesota",2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
3862,37000,1390000,"minnesota",3,0,0,0,0,6,15,0,0,0,1,0,0,0,0,0,0,0,0
3863,45000,1390000,"minnesota",0,0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0
3864,53000,1390000,"minnesota",0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,0
3865,61000,1390000,"minnesota",2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
3866,69000,1390000,"minnesota",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3867,77000,1390000,"minnesota",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
3868,85000,1390000,"minnesota",0,0,0,0,0,6,1,0,0,2,0,0,0,0,0,0,0,0,0
3869,93000,1390000,"minnesota",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
3870,101000,1390000,"minnesota",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
3871,109000,1390000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3872,117000,1390000,"minnesota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3873,125000,1390000,"minnesota",0,0,0,0,0,13,0,3,0,0,1,0,0,2,0,0,0,0,0
3874,133000,1390000,"minnesota",0,0,0,0,0,33,0,14,0,0,3,0,0,1,0,0,0,0,0
3875,141000,1390000,"minnesota",0,8,0,1,0,10,2,5,0,1,2,0,1,4,0,0,0,0,0
3876,149000,1390000,"minnesota",0,4,0,0,0,8,3,2,0,0,1,0,0,2,0,0,0,0,0
3877,157000,1390000,"minnesota",0,2,0,1,0,11,1,4,0,2,2,0,2,0,0,0,0,0,0
3878,165000,1390000,"minnesota",0,0,0,1,0,12,3,3,0,0,8,0,0,0,0,0,0,0,0
3879,173000,1390000,"minnesota",0,0,0,4,0,15,9,9,0,0,6,0,0,3,0,0,0,0,0
