# stan_version_major = 2
# stan_version_minor = 1
# stan_version_patch = 0
# model = calibration_v6_model
# method = sample (Default)
#   sample
#     num_samples = 250
#     num_warmup = 50
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = ../r/dump/cal_data_12taxa_mid_comp.dump
# init = 2 (Default)
# random
#   seed = 42
# output
#   file = ../output/12taxa_mid_comp_long.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_divergent__,phi.1,phi.2,phi.3,phi.4,phi.5,phi.6,phi.7,phi.8,phi.9,phi.10,phi.11,phi.12,psi,gamma
# Adaptation terminated
# Step size = 0.0249201
# Diagonal elements of inverse mass matrix:
# 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
-6715.99,0.9952,0.0249201,2,0,42.5527,8.38016,67.9268,37.9347,12.4696,10.1657,32.6941,8.36648,38.1148,78.3668,35.2988,3.91455,0.213128,0.279587
-6716.59,0.908453,0.0249201,3,0,41.4661,9.26358,67.4696,36.6926,12.8693,10.311,33.0393,8.92042,36.4858,79.4608,34.2829,3.95465,0.215707,0.285855
-6719.22,0.944219,0.0249201,2,0,41.3378,9.17258,71.9591,34.0286,11.6573,10.155,30.1199,8.44553,37.7239,77.2252,33.4391,3.86343,0.219385,0.283186
-6717.72,0.919792,0.0249201,2,0,38.2293,7.74291,64.3189,35.6602,12.0289,9.97937,32.9761,8.00769,35.0635,78.1869,33.5001,3.39445,0.211245,0.27055
-6718.88,0.969603,0.0249201,3,0,33.8561,9.45255,66.1527,33.0211,13.4295,10.5785,29.4309,7.04427,35.6464,76.3767,32.3716,3.99797,0.212496,0.257756
-6719.3,1,0.0249201,3,0,39.4206,6.66,73.4268,36.6156,15.0257,11.514,32.8889,9.24206,39.4829,84.2174,35.2388,2.82554,0.209062,0.269153
-6719.7,0.944436,0.0249201,3,0,43.0504,7.38482,72.2181,36.7482,14.2122,10.3002,34.5227,8.24681,38.8061,78.6432,35.1734,2.70805,0.220951,0.277561
-6717.51,0.974441,0.0249201,3,0,38.4226,10.7601,69.557,33.6272,13.5308,11.3413,32.1585,7.86643,38.8714,82.3261,35.0904,3.84911,0.205948,0.243399
-6715.79,0.997211,0.0249201,2,0,41.9698,11.5509,72.1707,38.7852,13.319,11.0825,34.1215,7.9039,37.4529,79.7048,32.6535,3.29772,0.208607,0.269008
-6720.6,0.747518,0.0249201,2,0,37.0102,11.6863,72.9011,33.7403,11.9634,11.5489,31.5571,9.01143,37.4512,76.3159,35.4033,3.58742,0.210863,0.260003
-6718.63,0.930207,0.0249201,3,0,37.4824,11.7224,72.0659,34.0127,11.8852,11.3083,32.7629,9.02082,36.1421,78.031,35.1359,3.73838,0.213095,0.26974
-6714.87,0.905032,0.0249201,3,0,39.7741,10.1729,71.0912,37.3106,14.5442,10.4094,32.0765,7.82941,36.1748,76.432,32.7173,3.25394,0.205256,0.256851
-6718.47,0.86679,0.0249201,2,0,38.5906,9.19273,71.3663,34.991,14.0406,11.4326,32.8872,9.26749,38.8498,82.3492,32.8207,4.57945,0.208537,0.259288
-6717.89,0.932364,0.0249201,2,0,37.8649,8.99635,70.6738,33.6661,14.8121,11.5458,34.2099,8.55945,37.3031,78.3984,37.239,4.04849,0.205459,0.273478
-6718.42,0.897553,0.0249201,2,0,39.4911,8.92673,67.9892,33.5704,13.8522,10.5302,33.8578,8.40743,38.5145,81.2286,37.5815,3.96094,0.214861,0.286481
-6718.58,0.978285,0.0249201,2,0,42.6675,8.6363,74.5566,36.1782,13.4,11.4127,34.2661,7.76446,39.657,79.4645,38.8138,4.08867,0.217955,0.288624
-6715.7,0.916084,0.0249201,3,0,38.923,8.66366,69.0191,35.6212,14.3318,10.3789,33.5423,9.41222,36.5987,78.0921,36.7457,3.88641,0.208406,0.261118
-6716.88,0.985387,0.0249201,2,0,38.3571,7.88917,72.0139,37.6609,13.6326,10.2017,32.4205,10.0174,38.9896,81.8972,35.3657,3.43151,0.208108,0.264389
-6715.99,0.878167,0.0249201,3,0,43.7055,9.62425,74.0226,37.4025,14.4642,12.0554,35.1035,8.74982,40.6724,82.7288,36.1247,4.13646,0.212529,0.282634
-6715.99,0.611126,0.0249201,2,0,43.7055,9.62425,74.0226,37.4025,14.4642,12.0554,35.1035,8.74982,40.6724,82.7288,36.1247,4.13646,0.212529,0.282634
-6715.99,0.738597,0.0249201,3,0,43.7055,9.62425,74.0226,37.4025,14.4642,12.0554,35.1035,8.74982,40.6724,82.7288,36.1247,4.13646,0.212529,0.282634
-6714.98,0.878885,0.0249201,3,0,38.4917,6.68746,67.3964,34.7318,13.8753,10.3203,31.0054,7.96508,37.5499,77.2767,33.7333,3.17519,0.205778,0.25857
-6717.87,0.721497,0.0249201,3,0,40.149,6.70139,72.8213,35.4859,14.0028,11.8887,33.0512,7.27715,36.2445,79.8777,33.8553,3.35989,0.206836,0.271336
-6723.3,0.907756,0.0249201,2,0,39.219,6.40471,65.9733,34.9259,15.2067,10.0303,31.7966,6.2923,37.956,73.8862,34.4267,3.43021,0.222592,0.276739
-6719.72,0.9237,0.0249201,3,0,39.2306,7.26194,64.386,34.753,10.7155,10.1328,31.6239,7.99684,36.6546,73.572,30.9227,3.04811,0.209752,0.241009
